Sample,Sum
P00915,0.37056842481206465
P11277,0.3690633367890422
P68871,0.3601952079141198
P35523,0.3564131648975457
P02042,0.35598598405915227
P21810,0.3556538449224066
P00918,0.35216098446678173
P02549,0.35104989819470345
P07738,0.34775499316131303
P04040,0.347537320248385
Q7Z7G0,0.3474121538702951
Q99959,0.3449418287885302
P05413,0.3439788495872908
P04179,0.3434194818036878
P00352,0.34255481183841036
P16157,0.34204663762015547
P69905,0.3409549010560498
P32119,0.3404191222355529
P55196,0.33970827629070127
Q7Z7K6,0.33857896747814453
Q93009,0.33778738765399724
P20774,0.33652158326258275
P02730,0.33104887610961997
P13611,0.3310131933933334
P15924,0.33053863114919224
P69892,0.32856768272808146
P06132,0.3283249006901775
P01624,0.32816894322275514
Q14315,0.32809767680100144
P51888,0.32640996074017403
Q9UDT6,0.32603493573426817
P10915,0.32490733558377
Q14160,0.32431166034270875
P01594,0.3224268184410299
Q13228,0.3217176493607109
P01861,0.32139496311244037
Q9P2B2,0.3197387218804588
P16144,0.3192818931032472
Q9BX67,0.31885340675466545
P43121,0.31845646363653324
P58107,0.31841060671882404
P12429,0.3172029534129544
P02652,0.31654963551560894
P04083,0.3154296982751366
O00560,0.3150835789262185
P56199,0.31508178827853683
Q96FL8,0.3149602962933858
P30043,0.3147446369621903
P51884,0.3145683481247782
P49321,0.31377693316029703
Q6NZI2,0.3136211451383798
Q96CN7,0.31350763330448994
P00439,0.3133751128538658
P22352,0.31251915179165274
P04080,0.3123920041343494
Q8NG11,0.3119206319749323
P02753,0.31178527708035064
A3QJZ6,0.31167312901328686
Q15113,0.3116401825468822
Q13510,0.3115551704533193
P08311,0.31082958289072204
O60547,0.310599109501242
P53367,0.3104414386335601
P05090,0.3096211961994863
P13796,0.3095793449000046
P02766,0.308680727228283
P02750,0.30861708668549886
O00160,0.30801849221086486
Q9BYM8,0.3079620135754335
O15160,0.30708113279682986
P05164,0.30630229004238085
P00966,0.3059880006340146
P28676,0.30598211509698703
Q9H9E3,0.3057986330383298
Q8IWE2,0.3052759870394894
Q14624,0.30486747115491525
P00491,0.30436539272889385
P02100,0.3040846515476661
Q15063,0.3035764190560507
Q96T23,0.3034929017693156
P01031,0.30309431940352366
P01615,0.30307618984385026
P55060,0.3028975185985684
P02656,0.3028851755878164
P01019,0.3023244223457056
P55083,0.30227366386001314
Q92542,0.3019652567180694
Q9BSD7,0.3018967461669172
P19652,0.3017406742904676
P48163,0.3015146021277175
P46778,0.30148987333189814
P04839,0.30108623087041536
P35908,0.3010707827388427
Q96HP0,0.30102532824476474
Q8NC51,0.3007214713048608
P36873,0.30067746636090487
P52630,0.30065516908167156
P61626,0.3005048319068609
P07585,0.30035704270714875
P25311,0.2999744717807522
Q9UHB6,0.29982014818480535
P02679,0.29980529980314735
P19971,0.29979554072517145
P0C0L5,0.2996034692042639
Q9Y5K6,0.29936287167305564
P40121,0.29921510427345305
P15144,0.2990499407845677
P41218,0.29897140272620726
P35754,0.29885771609475514
P08670,0.2984566384563048
P07339,0.2983572228987754
Q96NY7,0.2981345876370747
O00584,0.298074471016939
P02788,0.2980036128199548
P16402,0.29791483568714566
Q8IY67,0.29747214974493436
Q06278,0.2971614587064945
Q16678,0.29707405293964223
P17931,0.29690482728175877
Q8N129,0.29680268307398944
Q9Y5Z4,0.2965885175031136
Q02952,0.2964808956720901
P61201,0.2961435177864118
P26440,0.2961032024326595
O00592,0.2955369413177481
A0A0B4J1X5,0.29551742673923564
O75531,0.29542835091281083
P51692,0.2953491775682997
P22105,0.29524807406689907
Q07020,0.2950840816313566
P02675,0.2950320109910856
Q9P1F3,0.2946299455132674
P25685,0.2944262451076709
P0C0L4,0.29427122097312763
P29373,0.2941756909894116
P07108,0.2931875918381506
P02792,0.2931622116706775
P14923,0.29294174501345266
A0A0C4DH68,0.29287018200938386
P10909,0.2927800825493924
P68036,0.292717998777078
Q03154,0.29266879198287904
O94874,0.2926633665863353
Q14767,0.292062475743883
O15438,0.29183516403884824
O00303,0.2917967243364329
P55011,0.2917729506140658
P19827,0.2911871428300834
Q8TBN0,0.29098393878955625
Q9P0M6,0.29082581689332815
P05186,0.29063515302456694
P02765,0.2902211461543578
Q96TC7,0.29020422343892044
P04264,0.290086179000687
Q13451,0.29007473688701807
P02461,0.29004579647018686
Q96FV2,0.2899659048599325
Q9NZN4,0.28944281052663634
O75521,0.2893828052425924
P17900,0.28908994401475574
O15230,0.2890822862934006
Q12791,0.288962449696619
Q07157,0.28849094338072345
P02671,0.28826337391196166
P54652,0.28806316835013357
P56134,0.287811553347555
P02768,0.2877743892577648
Q9UM54,0.2874361536179603
P08185,0.28737482694054606
P81605,0.2872609778245222
Q5TZA2,0.2871294104205641
Q96DG6,0.2869912452081976
P35573,0.2867453946648935
O94813,0.2864523146306654
P07858,0.286292448523856
P05452,0.28603035129229976
P55268,0.2859684248921412
O14880,0.2859412831316699
P80217,0.2857871345198865
P54709,0.2855578919222899
P02775,0.2855522879952942
Q96PD5,0.2848899037103947
Q9H2H8,0.28483342046797794
P01023,0.28474783669737663
Q15714,0.28450958048750213
Q53FA7,0.28441288335798964
P09110,0.2843707711293781
P11047,0.2843665287057326
O95810,0.2838436859393181
P07942,0.28377066831802705
P02533,0.2835865557241132
P54886,0.2833291617735287
P08697,0.2832710217774027
P26447,0.28315916680354325
Q15008,0.28290138647331414
P13284,0.28229849072469093
P00747,0.2820403353863641
P01024,0.28189536098222706
P61254,0.2814316293818738
P20591,0.28132382006775425
Q9ULC3,0.28129920100157
Q14126,0.2805221969288196
Q9NVI7,0.2804930207821648
P00734,0.2804863790426055
P02647,0.28043567767387295
Q99983,0.28033679749695256
P00387,0.2802657941373858
P52895,0.2801286237571237
Q02878,0.2799209431477686
P35556,0.27985354640930205
Q13867,0.27972364416683715
P01871,0.27945469571657594
P09488,0.2790101028743257
Q9UN37,0.27899692083649635
P07602,0.27898410275654495
P30046,0.27891190941009025
P43652,0.2788070869733709
O00625,0.27880260963704956
